Col_id,Col_time,Col_item,Col_power,Col_current,Col_voltage,Col_electricity
0,2025-12-04 23:55:13,AIR,2.1,28.0,102.2,889.0
1,2025-12-04 23:55:13,ICE,58.5,751.0,101.8,893.0
2,2025-12-04 23:55:13,WAT,0.0,0.0,101.6,1426.0
3,2025-12-04 23:55:13,MAC,5.2,66.0,101.7,889.0
4,2025-12-04 23:58:14,AIR,2.1,28.0,102.2,889.0
5,2025-12-04 23:58:14,ICE,3.0,29.0,101.8,896.0
6,2025-12-04 23:58:14,WAT,0.0,0.0,101.6,1426.0
7,2025-12-04 23:58:14,MAC,5.2,66.0,101.7,889.0
8,2025-12-05 00:01:15,AIR,2.1,28.0,102.2,889.0
9,2025-12-05 00:01:15,ICE,3.0,29.0,101.8,896.0
10,2025-12-05 00:01:15,WAT,0.0,0.0,101.6,1426.0
11,2025-12-05 00:01:15,MAC,6.9,68.0,101.4,900.0
12,2025-12-05 00:04:16,AIR,2.1,28.0,102.2,889.0
13,2025-12-05 00:04:16,ICE,3.0,29.0,101.8,896.0
14,2025-12-05 00:04:16,WAT,0.0,0.0,101.6,1426.0
15,2025-12-05 00:04:16,MAC,6.9,68.0,101.4,900.0
16,2025-12-05 00:07:17,AIR,2.1,28.0,102.2,889.0
17,2025-12-05 00:07:17,ICE,3.0,29.0,101.8,896.0
18,2025-12-05 00:07:17,WAT,0.0,0.0,101.6,1426.0
19,2025-12-05 00:07:17,MAC,6.9,68.0,101.4,900.0
20,2025-12-05 00:10:18,AIR,2.1,28.0,102.2,889.0
21,2025-12-05 00:10:18,ICE,3.0,29.0,101.8,896.0
22,2025-12-05 00:10:18,WAT,0.0,0.0,101.6,1426.0
23,2025-12-05 00:10:18,MAC,6.9,68.0,101.4,900.0
24,2025-12-05 00:13:19,AIR,2.1,28.0,102.2,889.0
25,2025-12-05 00:13:19,ICE,42.3,539.0,102.1,912.0
26,2025-12-05 00:13:19,WAT,0.0,0.0,101.6,1426.0
27,2025-12-05 00:13:19,MAC,6.9,68.0,101.4,900.0
28,2025-12-05 00:16:20,AIR,2.1,28.0,102.2,889.0
29,2025-12-05 00:16:20,ICE,42.3,539.0,102.1,912.0
30,2025-12-05 00:16:20,WAT,0.0,0.0,101.6,1426.0
31,2025-12-05 00:16:20,MAC,6.9,68.0,101.4,900.0
32,2025-12-05 00:19:21,AIR,2.1,28.0,102.2,889.0
33,2025-12-05 00:19:21,ICE,42.3,539.0,102.1,912.0
34,2025-12-05 00:19:21,WAT,0.0,0.0,101.6,1426.0
35,2025-12-05 00:19:21,MAC,6.9,68.0,101.4,900.0
36,2025-12-05 00:22:22,AIR,2.1,28.0,102.2,889.0
37,2025-12-05 00:22:22,ICE,42.3,539.0,102.1,912.0
38,2025-12-05 00:22:22,WAT,0.0,0.0,101.6,1426.0
39,2025-12-05 00:22:22,MAC,6.9,68.0,101.4,900.0
40,2025-12-05 00:25:23,AIR,2.1,28.0,102.2,889.0
41,2025-12-05 00:25:23,ICE,42.3,539.0,102.1,912.0
42,2025-12-05 00:25:23,WAT,0.0,0.0,101.6,1426.0
43,2025-12-05 00:25:23,MAC,6.9,68.0,101.4,900.0
44,2025-12-05 00:28:24,AIR,2.1,28.0,102.2,889.0
45,2025-12-05 00:28:24,ICE,42.3,539.0,102.1,912.0
46,2025-12-05 00:28:24,WAT,0.0,0.0,101.6,1426.0
47,2025-12-05 00:28:24,MAC,6.9,68.0,101.4,900.0
48,2025-12-05 00:31:25,AIR,2.1,28.0,102.2,889.0
49,2025-12-05 00:31:25,ICE,42.3,539.0,102.1,912.0
50,2025-12-05 00:31:25,WAT,0.0,0.0,101.6,1426.0
51,2025-12-05 00:31:25,MAC,6.9,68.0,101.4,900.0
52,2025-12-05 00:34:26,AIR,2.1,28.0,102.2,889.0
