Col_id,Col_time,Col_item,Col_power,Col_current,Col_voltage,Col_electricity
75880,2026-01-13 23:14:03,AIR,3.2,56.0,103.5,108.0
75881,2026-01-13 23:14:03,ICE,43.7,557.0,102.6,815.0
75882,2026-01-13 23:14:03,WAT,0.0,0.0,103.2,632.0
75883,2026-01-13 23:14:03,MAC,7.7,75.0,102.2,413.0
75884,2026-01-13 23:17:04,AIR,3.2,56.0,103.5,108.0
75885,2026-01-13 23:17:04,ICE,43.7,557.0,102.6,815.0
75886,2026-01-13 23:17:04,WAT,0.0,0.0,103.2,632.0
75887,2026-01-13 23:17:04,MAC,7.7,75.0,102.2,413.0
75888,2026-01-13 23:20:05,AIR,3.2,56.0,103.5,108.0
75889,2026-01-13 23:20:05,ICE,43.7,557.0,102.6,815.0
75890,2026-01-13 23:20:05,WAT,0.0,0.0,103.2,632.0
75891,2026-01-13 23:20:05,MAC,7.7,75.0,102.2,413.0
75892,2026-01-13 23:23:07,AIR,3.2,56.0,103.5,108.0
75893,2026-01-13 23:23:07,ICE,43.7,557.0,102.6,815.0
75894,2026-01-13 23:23:07,WAT,0.0,0.0,103.2,632.0
75895,2026-01-13 23:23:07,MAC,7.7,75.0,102.2,413.0
75896,2026-01-13 23:26:08,AIR,3.2,56.0,103.5,108.0
75897,2026-01-13 23:26:08,ICE,43.7,557.0,102.6,815.0
75898,2026-01-13 23:26:08,WAT,0.0,0.0,103.2,632.0
75899,2026-01-13 23:26:08,MAC,7.7,75.0,102.2,413.0
75900,2026-01-13 23:29:09,AIR,3.2,56.0,103.5,108.0
75901,2026-01-13 23:29:09,ICE,43.7,557.0,102.6,815.0
75902,2026-01-13 23:29:09,WAT,0.0,0.0,103.2,632.0
75903,2026-01-13 23:29:09,MAC,7.7,75.0,102.2,413.0
75904,2026-01-13 23:32:10,AIR,3.2,56.0,103.5,108.0
75905,2026-01-13 23:32:10,ICE,43.7,557.0,102.6,815.0
75906,2026-01-13 23:32:10,WAT,0.0,0.0,103.2,632.0
75907,2026-01-13 23:32:10,MAC,7.7,75.0,102.2,413.0
75908,2026-01-13 23:35:11,AIR,3.2,56.0,103.5,108.0
75909,2026-01-13 23:35:11,ICE,43.7,557.0,102.6,815.0
75910,2026-01-13 23:35:11,WAT,0.0,0.0,103.2,632.0
75911,2026-01-13 23:35:11,MAC,7.7,75.0,102.2,413.0
75912,2026-01-13 23:38:12,AIR,3.2,56.0,103.5,108.0
75913,2026-01-13 23:38:12,ICE,43.7,557.0,102.6,815.0
75914,2026-01-13 23:38:12,WAT,0.0,0.0,103.2,632.0
75915,2026-01-13 23:38:12,MAC,7.7,75.0,102.2,413.0
75916,2026-01-13 23:41:13,AIR,3.2,56.0,103.5,108.0
75917,2026-01-13 23:41:13,ICE,43.7,557.0,102.6,815.0
75918,2026-01-13 23:41:13,WAT,0.0,0.0,103.2,632.0
75919,2026-01-13 23:41:13,MAC,7.7,75.0,102.2,413.0
75920,2026-01-13 23:44:14,AIR,3.2,56.0,103.5,108.0
75921,2026-01-13 23:44:14,ICE,43.7,557.0,102.6,815.0
75922,2026-01-13 23:44:14,WAT,0.0,0.0,103.2,632.0
75923,2026-01-13 23:44:14,MAC,7.7,75.0,102.2,413.0
75924,2026-01-13 23:47:15,AIR,3.2,56.0,103.5,108.0
75925,2026-01-13 23:47:15,ICE,43.7,557.0,102.6,815.0
75926,2026-01-13 23:47:15,WAT,0.0,0.0,103.2,632.0
75927,2026-01-13 23:47:15,MAC,7.7,75.0,102.2,413.0
75928,2026-01-13 23:50:16,AIR,3.2,56.0,103.5,108.0
75929,2026-01-13 23:50:16,ICE,43.7,557.0,102.6,815.0
75930,2026-01-13 23:50:16,WAT,0.0,0.0,103.2,632.0
75931,2026-01-13 23:50:16,MAC,7.7,75.0,102.2,413.0
75932,2026-01-13 23:53:17,AIR,3.2,56.0,103.5,108.0
75933,2026-01-13 23:53:17,ICE,43.7,557.0,102.6,815.0
75934,2026-01-13 23:53:17,WAT,0.0,0.0,103.2,632.0
75935,2026-01-13 23:53:17,MAC,7.7,75.0,102.2,413.0
75936,2026-01-13 23:56:19,AIR,3.2,56.0,103.5,108.0
75937,2026-01-13 23:56:19,ICE,43.7,557.0,102.6,815.0
75938,2026-01-13 23:56:19,WAT,0.0,0.0,103.2,632.0
75939,2026-01-13 23:56:19,MAC,7.7,75.0,102.2,413.0
75940,2026-01-13 23:59:20,AIR,3.2,56.0,103.5,108.0
75941,2026-01-13 23:59:20,ICE,43.7,557.0,102.6,815.0
75942,2026-01-13 23:59:20,WAT,0.0,0.0,103.2,632.0
75943,2026-01-13 23:59:20,MAC,7.7,75.0,102.2,413.0
75944,2026-01-14 00:02:21,AIR,3.2,56.0,103.5,108.0
75945,2026-01-14 00:02:21,ICE,43.7,557.0,102.6,815.0
75946,2026-01-14 00:02:21,WAT,0.0,0.0,103.2,632.0
75947,2026-01-14 00:02:21,MAC,7.7,75.0,102.2,413.0
75948,2026-01-14 00:05:22,AIR,3.2,56.0,103.5,108.0
75949,2026-01-14 00:05:22,ICE,43.7,557.0,102.6,815.0
75950,2026-01-14 00:05:22,WAT,0.0,0.0,103.2,632.0
75951,2026-01-14 00:05:22,MAC,7.7,75.0,102.2,413.0
75952,2026-01-14 00:08:23,AIR,3.2,56.0,103.5,108.0
75953,2026-01-14 00:08:23,ICE,43.7,557.0,102.6,815.0
75954,2026-01-14 00:08:23,WAT,0.0,0.0,103.2,632.0
75955,2026-01-14 00:08:23,MAC,7.7,75.0,102.2,413.0
75956,2026-01-14 00:11:24,AIR,3.2,56.0,103.5,108.0
75957,2026-01-14 00:11:24,ICE,43.7,557.0,102.6,815.0
75958,2026-01-14 00:11:24,WAT,0.0,0.0,103.2,632.0
75959,2026-01-14 00:11:24,MAC,7.7,75.0,102.2,413.0
75960,2026-01-14 00:14:25,AIR,3.2,56.0,103.5,108.0
75961,2026-01-14 00:14:25,ICE,43.7,557.0,102.6,815.0
75962,2026-01-14 00:14:25,WAT,0.0,0.0,103.2,632.0
75963,2026-01-14 00:14:25,MAC,7.7,75.0,102.2,413.0
75964,2026-01-14 00:17:26,AIR,3.2,56.0,103.5,108.0
75965,2026-01-14 00:17:26,ICE,43.7,557.0,102.6,815.0
75966,2026-01-14 00:17:26,WAT,0.0,0.0,103.2,632.0
75967,2026-01-14 00:17:26,MAC,7.7,75.0,102.2,413.0
75968,2026-01-14 00:20:26,AIR,3.2,56.0,103.5,108.0
75969,2026-01-14 00:20:26,ICE,43.7,557.0,102.6,815.0
75970,2026-01-14 00:20:26,WAT,0.0,0.0,103.2,632.0
75971,2026-01-14 00:20:26,MAC,7.7,75.0,102.2,413.0
75972,2026-01-14 00:23:28,AIR,3.2,56.0,103.5,108.0
75973,2026-01-14 00:23:28,ICE,43.7,557.0,102.6,815.0
75974,2026-01-14 00:23:28,WAT,0.0,0.0,103.2,632.0
75975,2026-01-14 00:23:28,MAC,7.7,75.0,102.2,413.0
75976,2026-01-14 00:26:29,AIR,3.2,56.0,103.5,108.0
75977,2026-01-14 00:26:29,ICE,43.7,557.0,102.6,815.0
75978,2026-01-14 00:26:29,WAT,0.0,0.0,103.2,632.0
75979,2026-01-14 00:26:29,MAC,7.7,75.0,102.2,413.0
75980,2026-01-14 00:29:30,AIR,3.2,56.0,103.5,108.0
75981,2026-01-14 00:29:30,ICE,43.7,557.0,102.6,815.0
75982,2026-01-14 00:29:30,WAT,0.0,0.0,103.2,632.0
75983,2026-01-14 00:29:30,MAC,7.7,75.0,102.2,413.0
75984,2026-01-14 00:32:31,AIR,3.2,56.0,103.5,108.0
75985,2026-01-14 00:32:31,ICE,43.7,557.0,102.6,815.0
75986,2026-01-14 00:32:31,WAT,0.0,0.0,103.2,632.0
75987,2026-01-14 00:32:31,MAC,7.7,75.0,102.2,413.0
75988,2026-01-14 00:35:32,AIR,3.2,56.0,103.5,108.0
75989,2026-01-14 00:35:32,ICE,43.7,557.0,102.6,815.0
75990,2026-01-14 00:35:32,WAT,0.0,0.0,103.2,632.0
75991,2026-01-14 00:35:32,MAC,7.7,75.0,102.2,413.0
75992,2026-01-14 00:38:33,AIR,3.2,56.0,103.5,108.0
75993,2026-01-14 00:38:33,ICE,3.0,29.0,102.9,936.0
75994,2026-01-14 00:38:33,WAT,0.0,0.0,103.2,632.0
75995,2026-01-14 00:38:33,MAC,7.7,75.0,102.2,413.0
75996,2026-01-14 00:41:34,AIR,3.2,56.0,103.5,108.0
75997,2026-01-14 00:41:34,ICE,3.0,29.0,102.9,936.0
75998,2026-01-14 00:41:34,WAT,0.0,0.0,103.2,632.0
75999,2026-01-14 00:41:34,MAC,7.7,75.0,102.2,413.0
76000,2026-01-14 00:44:35,AIR,3.2,56.0,103.5,108.0
76001,2026-01-14 00:44:35,ICE,3.0,29.0,102.9,936.0
76002,2026-01-14 00:44:35,WAT,0.0,0.0,103.2,632.0
76003,2026-01-14 00:44:35,MAC,7.7,75.0,102.2,413.0
76004,2026-01-14 00:47:36,AIR,3.2,56.0,103.5,108.0
76005,2026-01-14 00:47:36,ICE,3.0,29.0,102.9,936.0
76006,2026-01-14 00:47:36,WAT,0.0,0.0,103.2,632.0
76007,2026-01-14 00:47:36,MAC,7.7,75.0,102.2,413.0
76008,2026-01-14 00:50:37,AIR,3.2,56.0,103.5,108.0
76009,2026-01-14 00:50:37,ICE,3.0,29.0,102.9,936.0
76010,2026-01-14 00:50:37,WAT,0.0,0.0,103.2,632.0
76011,2026-01-14 00:50:37,MAC,7.7,75.0,102.2,413.0
76012,2026-01-14 00:53:38,AIR,3.2,56.0,103.5,108.0
76013,2026-01-14 00:53:38,ICE,39.3,505.0,101.9,953.0
76014,2026-01-14 00:53:38,WAT,0.0,0.0,103.2,632.0
76015,2026-01-14 00:53:38,MAC,7.7,75.0,102.2,413.0
76016,2026-01-14 00:56:39,AIR,3.2,56.0,103.5,108.0
76017,2026-01-14 00:56:39,ICE,39.3,505.0,101.9,953.0
76018,2026-01-14 00:56:39,WAT,0.0,0.0,103.2,632.0
76019,2026-01-14 00:56:39,MAC,7.7,75.0,102.2,413.0
76020,2026-01-14 00:59:40,AIR,3.2,56.0,103.5,108.0
76021,2026-01-14 00:59:40,ICE,39.3,505.0,101.9,953.0
76022,2026-01-14 00:59:40,WAT,0.0,0.0,103.2,632.0
76023,2026-01-14 00:59:40,MAC,7.7,75.0,102.2,413.0
76024,2026-01-14 01:02:41,AIR,3.2,56.0,103.5,108.0
76025,2026-01-14 01:02:41,ICE,39.3,505.0,101.9,953.0
76026,2026-01-14 01:02:41,WAT,0.0,0.0,103.2,632.0
76027,2026-01-14 01:02:41,MAC,7.7,75.0,102.2,413.0
76028,2026-01-14 01:05:42,AIR,3.2,56.0,103.5,108.0
76029,2026-01-14 01:05:42,ICE,39.3,505.0,101.9,953.0
76030,2026-01-14 01:05:42,WAT,0.0,0.0,103.2,632.0
76031,2026-01-14 01:05:42,MAC,7.7,75.0,102.2,413.0
76032,2026-01-14 01:08:43,AIR,3.2,56.0,103.5,108.0
76033,2026-01-14 01:08:43,ICE,39.3,505.0,101.9,953.0
76034,2026-01-14 01:08:43,WAT,0.0,0.0,103.2,632.0
76035,2026-01-14 01:08:43,MAC,7.7,75.0,102.2,413.0
76036,2026-01-14 01:11:44,AIR,3.2,56.0,103.5,108.0
76037,2026-01-14 01:11:44,ICE,39.3,505.0,101.9,953.0
76038,2026-01-14 01:11:44,WAT,0.0,0.0,103.2,632.0
76039,2026-01-14 01:11:44,MAC,7.7,75.0,102.2,413.0
76040,2026-01-14 01:14:45,AIR,3.2,56.0,103.5,108.0
76041,2026-01-14 01:14:45,ICE,39.3,505.0,101.9,953.0
76042,2026-01-14 01:14:45,WAT,0.0,0.0,103.2,632.0
76043,2026-01-14 01:14:45,MAC,7.7,75.0,102.2,413.0
76044,2026-01-14 01:17:47,AIR,3.2,56.0,103.5,108.0
76045,2026-01-14 01:17:47,ICE,39.3,505.0,101.9,953.0
76046,2026-01-14 01:17:47,WAT,0.0,0.0,103.2,632.0
76047,2026-01-14 01:17:47,MAC,7.7,75.0,102.2,413.0
76048,2026-01-14 01:20:48,AIR,3.2,56.0,103.5,108.0
76049,2026-01-14 01:20:48,ICE,39.3,505.0,101.9,953.0
76050,2026-01-14 01:20:48,WAT,0.0,0.0,103.2,632.0
76051,2026-01-14 01:20:48,MAC,7.7,75.0,102.2,413.0
76052,2026-01-14 01:23:49,AIR,3.2,56.0,103.5,108.0
76053,2026-01-14 01:23:49,ICE,39.3,505.0,101.9,953.0
76054,2026-01-14 01:23:49,WAT,0.0,0.0,103.2,632.0
76055,2026-01-14 01:23:49,MAC,7.7,75.0,102.2,413.0
76056,2026-01-14 01:26:50,AIR,3.2,56.0,103.5,108.0
76057,2026-01-14 01:26:50,ICE,39.3,505.0,101.9,953.0
76058,2026-01-14 01:26:50,WAT,0.0,0.0,103.2,632.0
76059,2026-01-14 01:26:50,MAC,7.7,75.0,102.2,413.0
76060,2026-01-14 01:29:51,AIR,3.2,56.0,103.5,108.0
76061,2026-01-14 01:29:51,ICE,39.3,505.0,101.9,953.0
76062,2026-01-14 01:29:51,WAT,0.0,0.0,103.2,632.0
76063,2026-01-14 01:29:51,MAC,7.7,75.0,102.2,413.0
76064,2026-01-14 01:32:52,AIR,3.2,56.0,103.5,108.0
76065,2026-01-14 01:32:52,ICE,39.3,505.0,101.9,953.0
76066,2026-01-14 01:32:52,WAT,0.0,0.0,103.2,632.0
76067,2026-01-14 01:32:52,MAC,7.7,75.0,102.2,413.0
76068,2026-01-14 01:35:54,AIR,3.2,56.0,103.5,108.0
76069,2026-01-14 01:35:54,ICE,39.3,505.0,101.9,953.0
76070,2026-01-14 01:35:54,WAT,0.0,0.0,103.2,632.0
76071,2026-01-14 01:35:54,MAC,7.7,75.0,102.2,413.0
76072,2026-01-14 01:38:55,AIR,3.2,56.0,103.5,108.0
76073,2026-01-14 01:38:55,ICE,39.3,505.0,101.9,953.0
76074,2026-01-14 01:38:55,WAT,0.0,0.0,103.2,632.0
76075,2026-01-14 01:38:55,MAC,7.7,75.0,102.2,413.0
76076,2026-01-14 01:41:56,AIR,3.2,56.0,103.5,108.0
76077,2026-01-14 01:41:56,ICE,39.3,505.0,101.9,953.0
76078,2026-01-14 01:41:56,WAT,0.0,0.0,103.2,632.0
76079,2026-01-14 01:41:56,MAC,7.7,75.0,102.2,413.0
76080,2026-01-14 01:44:57,AIR,3.2,56.0,103.5,108.0
76081,2026-01-14 01:44:57,ICE,3.1,30.0,102.5,1004.0
76082,2026-01-14 01:44:57,WAT,0.0,0.0,103.2,632.0
76083,2026-01-14 01:44:57,MAC,7.7,75.0,102.2,413.0
76084,2026-01-14 01:47:58,AIR,3.2,56.0,103.5,108.0
76085,2026-01-14 01:47:58,ICE,3.1,30.0,102.5,1004.0
76086,2026-01-14 01:47:58,WAT,0.0,0.0,103.2,632.0
76087,2026-01-14 01:47:58,MAC,7.7,75.0,102.2,413.0
76088,2026-01-14 01:50:59,AIR,3.2,56.0,103.5,108.0
76089,2026-01-14 01:50:59,ICE,3.1,30.0,102.5,1004.0
76090,2026-01-14 01:50:59,WAT,0.0,0.0,103.2,632.0
76091,2026-01-14 01:50:59,MAC,7.7,75.0,102.2,413.0
76092,2026-01-14 01:54:00,AIR,3.2,56.0,103.5,108.0
76093,2026-01-14 01:54:00,ICE,3.1,30.0,102.5,1004.0
76094,2026-01-14 01:54:00,WAT,0.0,0.0,103.2,632.0
76095,2026-01-14 01:54:00,MAC,7.7,75.0,102.2,413.0
76096,2026-01-14 01:57:01,AIR,3.2,56.0,103.5,108.0
76097,2026-01-14 01:57:01,ICE,3.1,30.0,102.5,1004.0
76098,2026-01-14 01:57:01,WAT,0.0,0.0,103.2,632.0
76099,2026-01-14 01:57:01,MAC,7.7,75.0,102.2,413.0
76100,2026-01-14 02:00:02,AIR,3.2,56.0,103.5,108.0
76101,2026-01-14 02:00:02,ICE,3.1,30.0,102.5,1004.0
76102,2026-01-14 02:00:02,WAT,0.0,0.0,103.2,632.0
76103,2026-01-14 02:00:02,MAC,7.7,75.0,102.2,413.0
76104,2026-01-14 02:03:05,AIR,3.2,56.0,103.5,108.0
76105,2026-01-14 02:03:05,ICE,40.1,513.0,102.1,1022.0
76106,2026-01-14 02:03:05,WAT,0.0,0.0,103.2,632.0
76107,2026-01-14 02:03:05,MAC,7.7,75.0,102.2,413.0
76108,2026-01-14 02:06:06,AIR,3.2,56.0,103.5,108.0
76109,2026-01-14 02:06:06,ICE,40.1,513.0,102.1,1022.0
76110,2026-01-14 02:06:06,WAT,0.0,0.0,103.2,632.0
76111,2026-01-14 02:06:06,MAC,7.7,75.0,102.2,413.0
76112,2026-01-14 02:09:07,AIR,3.2,56.0,103.5,108.0
76113,2026-01-14 02:09:07,ICE,40.1,513.0,102.1,1022.0
76114,2026-01-14 02:09:07,WAT,0.0,0.0,103.2,632.0
